0	145
1	66
2	59
3	80
4	61
5	59
6	43
7	24
8	12
9	26
10	20
11	28
12	35
13	45
14	56
15	70
16	90
17	141
18	151
19	170
20	193
21	190
22	221
23	239
24	260
25	277
26	295
27	336
28	348
29	366
30	465
31	420
32	478
33	513
34	541
35	586
36	613
37	676
38	810
39	872
40	944
41	1058
42	1117
43	1250
44	1358
45	1409
46	1436
47	1588
48	1705
49	1718
50	1706
51	1719
52	1797
53	1801
54	1850
55	1832
56	1850
57	1834
58	1835
59	1873
60	1825
61	1778
62	1812
63	1794
64	1813
65	1780
66	1767
67	1776
68	1849
69	1738
70	1757
71	1728
72	1756
73	1891
74	1838
75	1855
76	1767
77	1798
78	1886
79	1809
80	1776
81	1806
82	1840
83	1775
84	1823
85	1797
86	1690
87	1712
88	1645
89	1618
90	1542
91	1582
92	1617
93	1570
94	1522
95	1487
96	1410
97	1436
98	1404
99	1397
100	1319
101	1304
102	1226
103	1224
104	1216
105	1180
106	1076
107	1070
108	968
109	1068
110	916
111	883
112	802
113	776
114	722
115	618
116	552
117	530
118	441
119	381
120	297
121	220
122	155
123	119
124	43
125	25
126	6
127	0
128	0
129	6
130	8
131	12
132	25
133	35
134	55
135	56
136	90
137	98
138	125
139	152
140	216
141	206
142	275
143	299
144	317
145	365
146	400
147	456
148	495
149	541
150	560
151	581
152	561
153	620
154	631
155	662
156	811
157	851
158	886
159	939
160	985
161	1014
162	1145
163	1107
164	1129
165	1106
166	1165
167	1299
168	1294
169	1245
170	1294
171	1290
172	1244
173	1307
174	1282
175	1322
176	1289
177	1318
178	1317
179	1251
180	1241
181	1295
182	1319
183	1300
184	1348
185	1291
186	1370
187	1405
188	1365
189	1441
190	1519
191	1488
192	1608
193	1637
194	1738
195	1735
196	2054
197	2103
198	2157
199	2287
200	2341
201	2326
202	2297
203	2322
204	2302
205	2082
206	1985
207	1873
208	1774
209	1654
210	1509
211	1447
212	1224
213	1269
214	1249
215	1272
216	1281
217	1262
218	1264
219	1343
220	1438
221	1461
222	1503
223	1592
224	1567
225	1622
226	1592
227	1651
228	1595
229	1542
230	1510
231	1389
232	1333
233	1333
234	1126
235	1024
236	975
237	863
238	753
239	736
240	658
241	660
242	486
243	429
244	403
245	366
246	314
247	281
248	253
249	170
250	154
251	145
252	96
253	99
254	82
255	66
